variant,seed,prediction_mse,coordinate_std_mean,coordinate_std_min,collapsed_coordinate_fraction,covariance_identity_rmse,covariance_condition_number,effective_rank,linear_probe_r2,sigreg_statistic,train_seconds
prediction-only,0,2.091895794364973e-07,0.0006026650637808076,0.0005505176331862823,1.0,0.35355326156074735,2.913038251514743,7.633218409033315,0.015457563413610709,1649.28076171875,8.570168713107705
prediction-only,1,2.739895421655092e-07,0.0006699987659721023,0.0005766097329869255,1.0,0.35355322955208324,3.3549850860085164,7.490897182364557,0.0123442898383056,1653.3927001953125,8.169441921636462
prediction-only,2,3.1566847269459686e-07,0.0007107758272549006,0.0005696223932175227,1.0,0.3535532082842208,3.9978285492536445,7.22007365920911,0.010137932116626502,1651.045166015625,8.221600125543773
variance,0,0.010641752742230892,1.0412392403894695,0.9991592174185285,0.0,0.9996198599024313,134432.98964154444,1.0768825252912864,0.33467670723228904,706.561279296875,13.083686325699091
variance,1,0.012344889342784882,1.1049300997257605,1.0214388996927226,0.0,0.9575477892972659,50920.328045625276,1.6082026581030757,0.5135665081333336,549.1021728515625,12.638173905201256
variance,2,0.011628031730651855,1.1052927693746308,1.0345474687621667,0.0,1.1334259733071117,155042.6363548126,1.0667046796969502,0.39937651753399106,710.3828125,12.791475586593151
sigreg,0,0.018193688243627548,1.017437900269981,0.9893167247485574,0.0,0.02671343031986705,1.2068600758542165,7.983468637336385,0.9525634315270756,4.8839263916015625,16.437403229996562
sigreg,1,0.01826869137585163,1.0126972509556675,0.9889334501442637,0.0,0.035184272448428734,1.3833774666088974,7.964919769296424,0.9505173944789055,4.934909820556641,16.132304277271032
sigreg,2,0.01816180720925331,1.0151075022906166,0.9856402793350092,0.0,0.033394301571705934,1.3347044038941898,7.9700203097876585,0.9508751114219224,5.422970771789551,16.32632885221392
