variant,seed,prediction_mse,coordinate_std_mean,coordinate_std_min,collapsed_coordinate_fraction,covariance_identity_rmse,covariance_condition_number,effective_rank,linear_probe_r2,predicted_next_state_r2,sigreg_statistic,train_seconds
variance,0,0.010026541538536549,1.0393707299080797,1.0245246414691513,0.0,1.0010203494010255,258974.65664291324,1.0522463374789237,0.3061739023043333,0.15294725582983815,717.3626708984375,6.843750663101673
variance,1,0.010744808241724968,1.0714406022551655,1.0496845601939726,0.0,1.054326709445322,173902.6504315261,1.0940130996010045,0.4103724944432924,0.2826259072596349,730.50830078125,6.198372319340706
variance,2,0.010584231466054916,1.0950426223922356,1.0344125699174578,0.0,1.1094020499070734,267705.7520877001,1.0691981249321787,0.3349189383923812,0.2913968128849427,718.2817993164062,5.773615350946784
