distribution,variant,weight,collapsed_coordinate_fraction,coordinate_std_mean,coordinate_std_min,covariance_condition_number,covariance_identity_rmse,effective_rank,linear_probe_r2,predicted_next_state_r2,prediction_mse,seed,sigreg_statistic,train_seconds
gaussian,sigreg,0.01,0.0,1.010263823627368,0.9771360705198402,1.370364740665,0.03403259614086358,7.9660832533987245,0.9574949204714147,0.9512664606699396,0.01624143309891224,1,4.8888349533081055,8.497417361475527
gaussian,sigreg,0.01,0.0,1.0103505696231638,0.9832082534008425,1.3109959517911423,0.031040140479228037,7.9721046974495176,0.9559897199534894,0.9498017065068347,0.016376256942749023,2,5.102077484130859,8.457043681293726
gaussian,sigreg,0.02,0.0,1.017437900269981,0.9893167247485574,1.2068600758542165,0.02671343031986705,7.983468637336385,0.9525634315270756,0.9463457807239244,0.018193688243627548,0,4.8839263916015625,8.835373832844198
gaussian,sigreg,0.02,0.0,1.0126972509556675,0.9889334501442637,1.3833774666088974,0.035184272448428734,7.964919769296424,0.9505173944789055,0.9445926676831597,0.01826869137585163,1,4.934909820556641,7.834797834046185
gaussian,sigreg,0.02,0.0,1.0151075022906166,0.9856402793350092,1.3347044038941898,0.033394301571705934,7.9700203097876585,0.9508751114219224,0.9451884562339393,0.01816180720925331,2,5.422970771789551,7.511762768030167
gaussian,sigreg,0.05,0.0,1.0216301132298389,0.9917169314303448,1.2065026736471673,0.028402151557476496,7.983494489846502,0.9471167926373035,0.9414989428495587,0.020212776958942413,0,5.119938850402832,8.897299092262983
gaussian,sigreg,0.05,0.0,1.0155336789588294,0.9822938966295713,1.3941830485803615,0.03668169955051362,7.96336109420597,0.944216690095528,0.9388490318574798,0.02011609449982643,1,5.035043716430664,8.630299272947013
gaussian,sigreg,0.05,0.0,1.0186731127946165,0.9884298239508464,1.3521173381961873,0.035416624295097586,7.96823009991411,0.9450494211184478,0.9399550558680937,0.020004652440547943,2,5.692139625549316,8.556484785862267
bimodal,prediction-only,0.0,1.0,0.0007149915756127761,0.0006644959939671104,3.45510806433995,0.35355320922458744,7.408913340265126,0.08177550354419638,0.007643931441407514,1.7387861817041994e-07,0,1649.111083984375,4.675424050539732
bimodal,prediction-only,0.0,1.0,0.0008118644491849854,0.0006441653230385509,5.095499815534444,0.3535531516704791,7.16750194799129,0.08891980495778418,0.013285894037678547,2.1445080733428767e-07,1,1653.2396240234375,4.08851841557771
bimodal,prediction-only,0.0,1.0,0.0008358400632322263,0.000623553507139698,5.00556555253497,0.3535531359963256,6.911662308410992,0.0743256241682202,0.007459808531910972,2.384844606240222e-07,2,1651.1650390625,3.592148484662175
bimodal,variance,0.25,0.0,1.0997907942996425,1.069200139782577,702418.253261986,1.1342782957212343,1.0010111649938322,0.2358790311058787,0.21644326185953378,0.00017983693396672606,0,1725.566162109375,6.9982044249773026
bimodal,variance,0.25,0.0,1.1690047009731122,1.0730537086315965,523358.8409623833,1.2892043552576617,1.0069018586435516,0.28961354946533435,0.2667333402691201,0.00023139500990509987,1,1978.2025146484375,6.697090297937393
bimodal,variance,0.25,0.0,1.0678827658852628,1.0402377006917265,582806.9701979802,1.068474826054966,1.0010086607450093,0.22408225796544023,0.049307907415845786,0.00023574680380988866,2,1526.5399169921875,6.666213486343622
bimodal,variance,1.0,0.0,1.1640078949533472,1.0593846038790034,188421.27096106103,1.229118132966191,1.1721747294319407,0.2986791258571522,0.26470976964605575,0.0015039843274280429,0,1617.855224609375,6.756418012082577
bimodal,variance,1.0,0.0,1.1630951019899034,1.0884019981501263,154599.70105588285,1.2424006839340402,1.1207737005971823,0.48997530368879527,0.49281901796105565,0.0013995982008054852,1,1644.3056640625,6.554305518977344
bimodal,variance,1.0,0.0,1.20683713576084,1.117124329746293,246878.06366342152,1.3731185685593137,1.0135271645837722,0.3835379778940975,0.3098046386423916,0.0014720628969371319,2,1661.401611328125,6.353789449669421
bimodal,variance,4.0,0.0,1.3183136425706738,1.1038038793605094,85051.83575382963,1.5963009636918177,1.20018092308141,0.5733553983175241,0.5275436335183237,0.007342526689171791,0,1653.07763671875,6.793888196349144
bimodal,variance,4.0,0.0,1.2187358304320983,1.0283657104120956,35277.9167603173,1.1802019729886772,1.706513203738338,0.5599404908303005,0.55134618067969,0.008875862695276737,1,722.9475708007812,5.815868125297129
bimodal,variance,4.0,0.0,1.2914132640165628,1.0950844452630666,76090.87839000343,1.5622144584055324,1.1150041968215818,0.5450437647060535,0.32407930627972725,0.008338144049048424,2,1114.142333984375,5.84425272513181
